num_of_players,num_of_gifts,value_noise_ratio,algorithm,random_seed,total_value,min_value,s1,s2,s3,s4,runtime
4,8,0.0,santa_claus_main,0,734,156,['c5'],['c4'],['c2'],['c1'],4.800389799987897
4,8,0.0,santa_claus_main,1,648,150,['c1'],['c5'],['c6'],['c4'],10.329088800004683
4,8,0.0,santa_claus_main,2,651,120,['c5'],['c8'],['c7'],['c1'],11.664269500062801
4,8,0.0,santa_claus_main,3,718,158,['c7'],['c6'],['c3'],['c1'],10.276360200019553
4,8,0.0,santa_claus_main,4,718,163,['c8'],['c5'],['c6'],['c4'],11.077952799969353
4,8,0.0,round_robin,0,734,156,['c5'],['c4'],['c2'],['c1'],0.001027100021019578
4,8,0.0,round_robin,1,648,150,['c1'],['c5'],['c6'],['c4'],0.0011074000503867865
4,8,0.0,round_robin,2,651,120,['c5'],['c8'],['c7'],['c1'],0.0011259999591857195
4,8,0.0,round_robin,3,718,158,['c7'],['c6'],['c3'],['c1'],0.0006856999825686216
4,8,0.0,round_robin,4,718,163,['c8'],['c5'],['c6'],['c4'],0.0007043000077828765
4,9,0.0,santa_claus_main,0,664,154,['c5'],['c1'],['c4'],['c2'],22.055112899979576
4,9,0.0,santa_claus_main,1,615,140,['c1'],['c6'],['c2'],['c4'],10.013655100017786
4,9,0.0,santa_claus_main,2,641,127,['c5'],['c7'],['c3'],['c8'],9.701754300040193
4,9,0.0,santa_claus_main,3,652,153,['c6'],['c7'],['c3'],['c2'],9.256890599965118
4,9,0.0,santa_claus_main,4,648,138,['c4'],['c3'],['c9'],['c8'],9.713733799988404
4,9,0.0,round_robin,0,664,154,['c5'],['c1'],['c4'],['c2'],0.0006030999356880784
4,9,0.0,round_robin,1,615,140,['c1'],['c6'],['c2'],['c4'],0.0004658999387174845
4,9,0.0,round_robin,2,641,127,['c5'],['c7'],['c3'],['c8'],0.00048189994413405657
4,9,0.0,round_robin,3,652,153,['c6'],['c7'],['c3'],['c2'],0.0004533999599516392
4,9,0.0,round_robin,4,648,138,['c4'],['c3'],['c9'],['c8'],0.0004911000141873956
4,10,0.0,santa_claus_main,0,603,132,['c1'],['c5'],['c2'],['c4'],20.926498600048944
4,10,0.0,santa_claus_main,1,526,117,['c5'],['c9'],['c6'],['c2'],22.225586700020358
4,10,0.0,santa_claus_main,2,563,101,['c7'],['c5'],['c8'],['c1'],22.173330700024962
4,10,0.0,santa_claus_main,3,660,141,['c3'],['c7'],['c2'],['c6'],21.90958670002874
4,10,0.0,santa_claus_main,4,642,147,['c3'],['c9'],['c4'],['c8'],20.679487099987455
4,10,0.0,round_robin,0,603,132,['c1'],['c5'],['c2'],['c4'],0.0004968999419361353
4,10,0.0,round_robin,1,526,117,['c5'],['c9'],['c6'],['c2'],0.0005153999663889408
4,10,0.0,round_robin,2,563,101,['c7'],['c5'],['c8'],['c1'],0.0005200000014156103
4,10,0.0,round_robin,3,660,141,['c3'],['c7'],['c2'],['c6'],0.00046090001706033945
4,10,0.0,round_robin,4,642,147,['c3'],['c9'],['c4'],['c8'],0.0005264999344944954
4,11,0.0,santa_claus_main,0,594,109,['c1'],['c11'],['c5'],['c4'],82.62032619991805
4,11,0.0,round_robin,0,594,109,['c1'],['c11'],['c5'],['c4'],0.0011253999546170235
4,11,0.0,round_robin,1,559,117,['c5'],['c2'],['c10'],['c9'],0.0011207000352442265
4,11,0.0,round_robin,2,619,114,['c8'],['c7'],['c5'],['c1'],0.0011272999690845609
4,11,0.0,round_robin,3,579,121,['c6'],['c3'],['c2'],['c7'],0.0011177000124007463
4,11,0.0,round_robin,4,595,126,['c4'],['c8'],['c3'],['c9'],0.0010541999945417047
4,12,0.0,round_robin,0,493,93,['c11'],['c12'],['c5'],['c2'],0.001097199972718954
4,12,0.0,round_robin,1,478,115,['c5'],['c6'],['c2'],['c1'],0.0010924000525847077
4,12,0.0,round_robin,2,599,138,['c7'],['c8'],['c5'],['c12'],0.0013806999195367098
4,12,0.0,round_robin,3,566,125,['c3'],['c1'],['c2'],['c7'],0.0012889999197795987
4,12,0.0,round_robin,4,672,144,['c9'],['c8'],['c4'],['c3'],0.0015096000861376524
4,13,0.0,round_robin,0,502,106,['c5'],['c12'],['c11'],['c4'],0.0011743000941351056
4,13,0.0,round_robin,1,475,114,['c2'],['c9'],['c1'],['c4'],0.0015798999229446054
4,13,0.0,round_robin,2,572,125,['c7'],['c12'],['c8'],['c13'],0.001128499978221953
4,13,0.0,round_robin,3,529,124,['c2'],['c1'],['c7'],['c3'],0.0012371999910101295
4,13,0.0,round_robin,4,626,131,['c8'],['c3'],['c9'],['c4'],0.001433999976143241
4,14,0.0,round_robin,0,450,95,['c5'],['c11'],['c12'],['c4'],0.0014510999899357557
4,14,0.0,round_robin,1,464,107,['c2'],['c1'],['c6'],['c10'],0.0013827999355271459
4,14,0.0,round_robin,2,517,119,['c5'],['c13'],['c7'],['c8'],0.001153400051407516
4,14,0.0,round_robin,3,494,109,['c3'],['c2'],['c13'],['c1'],0.0011973000364378095
4,14,0.0,round_robin,4,504,109,['c8'],['c3'],['c9'],['c4'],0.0011446999851614237
4,15,0.0,round_robin,0,485,105,['c11'],['c5'],['c12'],['c4'],0.0011911999899894
4,15,0.0,round_robin,1,420,101,['c1'],['c5'],['c2'],['c6'],0.0011622000019997358
4,15,0.0,round_robin,2,497,109,['c5'],['c7'],['c13'],['c8'],0.0013232000637799501
4,15,0.0,round_robin,3,489,113,['c2'],['c3'],['c1'],['c6'],0.0011831000447273254
4,15,0.0,round_robin,4,508,118,['c6'],['c3'],['c4'],['c9'],0.0011701000621542335
4,16,0.0,round_robin,0,456,92,['c5'],['c4'],['c11'],['c2'],0.002005700021982193
4,16,0.0,round_robin,1,417,99,['c1'],['c16'],['c5'],['c2'],0.0011756999883800745
4,16,0.0,round_robin,2,480,109,['c14'],['c5'],['c13'],['c12'],0.0011607999913394451
4,16,0.0,round_robin,3,458,108,['c6'],['c3'],['c2'],['c15'],0.001167000038549304
4,16,0.0,round_robin,4,529,105,['c16'],['c8'],['c3'],['c9'],0.0011911999899894
5,8,0.0,santa_claus_main,0,834,100,['c5'],['c4'],['c2'],['c1'],13.008031600038521
5,8,0.0,santa_claus_main,1,795,147,['c1'],['c5'],['c6'],['c4'],13.48746360000223
5,8,0.0,santa_claus_main,2,761,110,['c5'],['c8'],['c7'],['c1'],13.678516500047408
5,8,0.0,santa_claus_main,3,866,148,['c7'],['c6'],['c3'],['c1'],14.462298200000077
5,8,0.0,santa_claus_main,4,871,153,['c8'],['c5'],['c6'],['c4'],7.702645200071856
5,8,0.0,round_robin,0,834,100,['c5'],['c4'],['c2'],['c1'],0.0004876999882981181
5,8,0.0,round_robin,1,795,147,['c1'],['c5'],['c6'],['c4'],0.0005048000020906329
5,8,0.0,round_robin,2,761,110,['c5'],['c8'],['c7'],['c1'],0.000470499973744154
5,8,0.0,round_robin,3,866,148,['c7'],['c6'],['c3'],['c1'],0.00046490004751831293
5,8,0.0,round_robin,4,871,153,['c8'],['c5'],['c6'],['c4'],0.0004898000042885542
5,9,0.0,santa_claus_main,0,826,154,['c5'],['c1'],['c4'],['c2'],12.6369480000576
5,9,0.0,santa_claus_main,1,722,107,['c1'],['c6'],['c2'],['c4'],12.654122699983418
5,9,0.0,santa_claus_main,2,776,127,['c5'],['c7'],['c3'],['c8'],12.642488999990746
5,9,0.0,santa_claus_main,3,816,153,['c6'],['c7'],['c3'],['c2'],12.678349300054833
5,9,0.0,santa_claus_main,4,787,138,['c4'],['c3'],['c9'],['c8'],12.722477800096385
5,9,0.0,round_robin,0,826,154,['c5'],['c1'],['c4'],['c2'],0.0006196999456733465
5,9,0.0,round_robin,1,722,107,['c1'],['c6'],['c2'],['c4'],0.0005907000740990043
5,9,0.0,round_robin,2,776,127,['c5'],['c7'],['c3'],['c8'],0.0005448999581858516
5,9,0.0,round_robin,3,816,153,['c6'],['c7'],['c3'],['c2'],0.0005827998975291848
5,9,0.0,round_robin,4,787,138,['c4'],['c3'],['c9'],['c8'],0.00057050003670156
5,10,0.0,santa_claus_main,0,717,114,['c1'],['c5'],['c2'],['c4'],28.812894899980165
5,10,0.0,santa_claus_main,1,676,117,['c5'],['c9'],['c6'],['c2'],28.904015300096944
5,10,0.0,santa_claus_main,2,671,101,['c7'],['c5'],['c8'],['c1'],29.403823099914007
5,10,0.0,santa_claus_main,3,788,128,['c3'],['c7'],['c2'],['c6'],28.693009400041774
5,10,0.0,santa_claus_main,4,777,135,['c3'],['c9'],['c4'],['c8'],28.68014349997975
5,10,0.0,round_robin,0,717,114,['c1'],['c5'],['c2'],['c4'],0.0005354000022634864
5,10,0.0,round_robin,1,676,117,['c5'],['c9'],['c6'],['c2'],0.0005116000538691878
5,10,0.0,round_robin,2,671,101,['c7'],['c5'],['c8'],['c1'],0.0004920999053865671
5,10,0.0,round_robin,3,788,128,['c3'],['c7'],['c2'],['c6'],0.0005425999406725168
5,10,0.0,round_robin,4,777,135,['c3'],['c9'],['c4'],['c8'],0.0005100000416859984
5,11,0.0,round_robin,0,702,108,['c1'],['c11'],['c5'],['c4'],0.0005592999514192343
5,11,0.0,round_robin,1,718,117,['c5'],['c2'],['c10'],['c9'],0.0005312999710440636
5,11,0.0,round_robin,2,714,95,['c8'],['c7'],['c5'],['c1'],0.0004771000239998102
5,11,0.0,round_robin,3,686,107,['c6'],['c3'],['c2'],['c7'],0.0005120999412611127
5,11,0.0,round_robin,4,684,89,['c4'],['c8'],['c3'],['c9'],0.0005180999869480729
5,12,0.0,round_robin,0,613,93,['c11'],['c12'],['c5'],['c2'],0.0005175999831408262
5,12,0.0,round_robin,1,585,107,['c5'],['c6'],['c2'],['c1'],0.0005259000463411212
5,12,0.0,round_robin,2,694,95,['c7'],['c8'],['c5'],['c12'],0.0005087000317871571
5,12,0.0,round_robin,3,726,125,['c3'],['c1'],['c2'],['c7'],0.0005143000744283199
5,12,0.0,round_robin,4,783,111,['c9'],['c8'],['c4'],['c3'],0.0005122999427840114
5,13,0.0,round_robin,0,617,106,['c5'],['c12'],['c11'],['c4'],0.0005406999262049794
5,13,0.0,round_robin,1,578,103,['c2'],['c9'],['c1'],['c4'],0.0005321999778971076
5,13,0.0,round_robin,2,724,125,['c7'],['c12'],['c8'],['c13'],0.0005524000152945518
5,13,0.0,round_robin,3,613,84,['c2'],['c1'],['c7'],['c3'],0.0006170000415295362
5,13,0.0,round_robin,4,736,110,['c8'],['c3'],['c9'],['c4'],0.0006424000021070242
5,14,0.0,round_robin,0,545,95,['c5'],['c11'],['c12'],['c4'],0.0005257000448182225
5,14,0.0,round_robin,1,560,96,['c2'],['c1'],['c6'],['c10'],0.0005261000478640199
5,14,0.0,round_robin,2,619,102,['c5'],['c13'],['c7'],['c8'],0.0005381000228226185
5,14,0.0,round_robin,3,592,98,['c3'],['c2'],['c13'],['c1'],0.0005043999990448356
5,14,0.0,round_robin,4,621,109,['c8'],['c3'],['c9'],['c4'],0.0005137999542057514
5,15,0.0,round_robin,0,555,70,['c11'],['c5'],['c12'],['c4'],0.0005854000337421894
5,15,0.0,round_robin,1,525,101,['c1'],['c5'],['c2'],['c6'],0.0006155000301077962
5,15,0.0,round_robin,2,629,109,['c5'],['c7'],['c13'],['c8'],0.0007316999835893512
5,15,0.0,round_robin,3,608,113,['c2'],['c3'],['c1'],['c6'],0.0007616000948473811
5,15,0.0,round_robin,4,609,101,['c6'],['c3'],['c4'],['c9'],0.0006282000103965402
5,16,0.0,round_robin,0,542,86,['c5'],['c4'],['c11'],['c2'],0.0006324000423774123
5,16,0.0,round_robin,1,504,87,['c1'],['c16'],['c5'],['c2'],0.0007183999987319112
5,16,0.0,round_robin,2,616,109,['c14'],['c5'],['c13'],['c12'],0.0006441000150516629
5,16,0.0,round_robin,3,570,108,['c6'],['c3'],['c2'],['c15'],0.0006642999360337853
5,16,0.0,round_robin,4,619,90,['c16'],['c8'],['c3'],['c9'],0.0008645999478176236
6,8,0.0,santa_claus_main,0,959,100,['c5'],['c4'],['c2'],['c1'],7.294274599989876
6,8,0.0,santa_claus_main,1,923,128,['c1'],['c5'],['c6'],['c4'],7.324830600060523
6,8,0.0,santa_claus_main,2,866,105,['c5'],['c8'],['c7'],['c1'],7.453183899982832
6,8,0.0,santa_claus_main,3,974,108,['c7'],['c6'],['c3'],['c1'],8.576398699893616
6,8,0.0,santa_claus_main,4,965,94,['c8'],['c5'],['c6'],['c4'],7.948609199956991
6,8,0.0,round_robin,0,959,100,['c5'],['c4'],['c2'],['c1'],0.000709200045093894
6,8,0.0,round_robin,1,923,128,['c1'],['c5'],['c6'],['c4'],0.0005310000851750374
6,8,0.0,round_robin,2,866,105,['c5'],['c8'],['c7'],['c1'],0.0005034999921917915
6,8,0.0,round_robin,3,974,108,['c7'],['c6'],['c3'],['c1'],0.0004947999259456992
6,8,0.0,round_robin,4,965,94,['c8'],['c5'],['c6'],['c4'],0.0005177999846637249
6,9,0.0,santa_claus_main,0,920,94,['c5'],['c1'],['c4'],['c2'],16.143352499930188
6,9,0.0,santa_claus_main,1,854,107,['c1'],['c6'],['c2'],['c4'],16.38528819999192
6,9,0.0,santa_claus_main,2,864,88,['c5'],['c7'],['c3'],['c8'],16.743872300023213
6,9,0.0,santa_claus_main,3,916,100,['c6'],['c7'],['c3'],['c2'],16.493448700057343
6,9,0.0,santa_claus_main,4,908,121,['c4'],['c3'],['c9'],['c8'],16.31721959996503
6,9,0.0,round_robin,0,920,94,['c5'],['c1'],['c4'],['c2'],0.0005629999795928597
6,9,0.0,round_robin,1,854,107,['c1'],['c6'],['c2'],['c4'],0.0005797999911010265
6,9,0.0,round_robin,2,864,88,['c5'],['c7'],['c3'],['c8'],0.0006398999830707908
6,9,0.0,round_robin,3,916,100,['c6'],['c7'],['c3'],['c2'],0.0005970000056549907
6,9,0.0,round_robin,4,908,121,['c4'],['c3'],['c9'],['c8'],0.0008004999253898859
